,Date,Blue_Buy,Oficial_Buy,Blue_Sell,Oficial_Sell
0,2011-01-03,4.0,4.0,4.0,4.0
1,2011-01-04,4.0,4.0,4.0,4.0
2,2011-01-05,4.0,4.0,4.0,4.0
3,2011-01-06,4.0,4.0,4.0,4.0
4,2011-01-07,4.0,4.0,4.0,4.0
5,2011-01-10,4.0,4.0,4.0,4.0
6,2011-01-11,4.0,4.0,4.0,4.0
7,2011-01-12,4.0,4.0,4.0,4.0
8,2011-01-13,4.0,4.0,4.0,4.0
9,2011-01-14,4.0,4.0,4.0,4.0
10,2011-01-17,4.0,4.0,4.0,4.0
11,2011-01-18,4.0,4.0,4.0,4.0
12,2011-01-19,4.0,4.0,4.0,4.0
13,2011-01-20,4.0,4.0,4.0,4.0
14,2011-01-21,4.0,4.0,4.0,4.0
15,2011-01-24,4.0,4.0,4.0,4.0
16,2011-01-25,4.0,4.0,4.0,4.0
17,2011-01-26,4.0,4.0,4.0,4.0
18,2011-01-27,4.0,4.0,4.0,4.0
19,2011-01-28,4.0,4.0,4.0,4.0
20,2011-01-31,4.0,4.0,4.0,4.0
21,2011-02-01,4.0,4.0,4.0,4.0
22,2011-02-02,4.0,4.0,4.0,4.0
23,2011-02-03,4.0,4.0,4.0,4.0
24,2011-02-04,4.0,4.0,4.0,4.0
25,2011-02-07,4.0,4.0,4.0,4.0
26,2011-02-08,4.0,4.0,4.0,4.0
27,2011-02-09,4.0,4.0,4.0,4.0
28,2011-02-10,4.0,4.0,4.0,4.0
29,2011-02-11,4.0,4.0,4.0,4.0
30,2011-02-14,4.0,4.0,4.0,4.0
31,2011-02-15,4.0,4.0,4.0,4.0
32,2011-02-16,4.0,4.0,4.0,4.0
33,2011-02-17,4.0,4.0,4.0,4.0
34,2011-02-18,4.0,4.0,4.0,4.0
35,2011-02-21,4.0,4.0,4.0,4.0
36,2011-02-22,4.0,4.0,4.0,4.0
37,2011-02-23,4.0,4.0,4.0,4.0
38,2011-02-24,4.0,4.0,4.0,4.0
39,2011-02-25,4.0,4.0,4.0,4.0
40,2011-02-28,4.0,4.0,4.0,4.0
41,2011-03-01,4.0,4.0,4.0,4.0
42,2011-03-02,4.0,4.0,4.0,4.0
43,2011-03-03,4.0,4.0,4.0,4.0
44,2011-03-04,4.0,4.0,4.0,4.0
45,2011-03-09,4.0,4.0,4.0,4.0
46,2011-03-10,4.0,4.0,4.0,4.0
47,2011-03-11,4.0,4.0,4.0,4.0
48,2011-03-14,4.0,4.0,4.0,4.0
49,2011-03-15,4.0,4.0,4.0,4.0
50,2011-03-16,4.0,4.0,4.0,4.0
51,2011-03-17,4.0,4.0,4.0,4.0
52,2011-03-18,4.0,4.0,4.0,4.0
53,2011-03-21,4.0,4.0,4.0,4.0
54,2011-03-22,4.0,4.0,4.0,4.0
55,2011-03-23,4.0,4.0,4.0,4.0
56,2011-03-28,4.0,4.0,4.0,4.0
57,2011-03-29,4.0,4.0,4.0,4.0
58,2011-03-30,4.0,4.0,4.0,4.0
59,2011-03-31,4.0,4.0,4.0,4.0
60,2011-04-01,4.0,4.0,4.0,4.0
61,2011-04-04,4.0,4.0,4.0,4.0
62,2011-04-05,4.0,4.0,4.0,4.0
63,2011-04-06,4.0,4.0,4.0,4.0
64,2011-04-07,4.0,4.0,4.0,4.0
65,2011-04-08,4.0,4.0,4.0,4.0
66,2011-04-11,4.0,4.0,4.0,4.0
67,2011-04-12,4.0,4.0,4.0,4.0
68,2011-04-13,4.0,4.0,4.0,4.0
69,2011-04-14,4.0,4.0,4.0,4.0
70,2011-04-15,4.0,4.0,4.0,4.0
71,2011-04-18,4.0,4.0,4.0,4.0
72,2011-04-19,4.0,4.0,4.0,4.0
73,2011-04-20,4.0,4.0,4.0,4.0
74,2011-04-25,4.0,4.0,4.0,4.0
75,2011-04-26,4.0,4.0,4.0,4.0
76,2011-04-27,4.0,4.0,4.0,4.0
77,2011-04-28,4.0,4.0,4.0,4.0
78,2011-04-29,4.0,4.0,4.0,4.0
79,2011-05-02,4.0,4.0,4.0,4.0
80,2011-05-03,4.0,4.0,4.0,4.0
81,2011-05-04,4.0,4.0,4.0,4.0
82,2011-05-05,4.0,4.0,4.0,4.0
83,2011-05-06,4.0,4.0,4.0,4.0
84,2011-05-09,4.0,4.0,4.0,4.0
85,2011-05-10,4.0,4.0,4.0,4.0
86,2011-05-11,4.0,4.0,4.0,4.0
87,2011-05-12,4.0,4.0,4.0,4.0
88,2011-05-13,4.0,4.0,4.0,4.0
89,2011-05-16,4.0,4.0,4.0,4.0
90,2011-05-17,4.0,4.0,4.0,4.0
91,2011-05-18,4.0,4.0,4.0,4.0
92,2011-05-19,4.0,4.0,4.0,4.0
93,2011-05-20,4.0,4.0,4.0,4.0
94,2011-05-23,4.0,4.0,4.0,4.0
95,2011-05-24,4.0,4.0,4.0,4.0
96,2011-05-26,4.0,4.0,4.0,4.0
97,2011-05-27,4.0,4.0,4.0,4.0
98,2011-05-30,4.0,4.0,4.0,4.0
99,2011-05-31,4.0,4.0,4.0,4.0
100,2011-06-01,4.0,4.0,4.0,4.0
101,2011-06-02,4.0,4.0,4.0,4.0
102,2011-06-03,4.0,4.0,4.0,4.0
103,2011-06-06,4.0,4.0,4.0,4.0
104,2011-06-07,4.0,4.0,4.0,4.0
105,2011-06-08,4.0,4.0,4.0,4.0
106,2011-06-09,4.0,4.0,4.0,4.0
107,2011-06-10,4.0,4.0,4.0,4.0
108,2011-06-13,4.0,4.0,4.0,4.0
109,2011-06-14,4.0,4.0,4.0,4.0
110,2011-06-15,4.0,4.0,4.0,4.0
111,2011-06-16,4.0,4.0,4.0,4.0
112,2011-06-17,4.0,4.0,4.0,4.0
113,2011-06-21,4.0,4.0,4.0,4.0
114,2011-06-22,4.0,4.0,4.0,4.0
115,2011-06-23,4.0,4.0,4.0,4.0
116,2011-06-24,4.0,4.0,4.0,4.0
117,2011-06-27,4.0,4.0,4.0,4.0
118,2011-06-28,4.0,4.0,4.0,4.0
119,2011-06-29,4.0,4.0,4.0,4.0
120,2011-06-30,4.0,4.0,4.0,4.0
121,2011-07-01,4.0,4.0,4.0,4.0
122,2011-07-04,4.0,4.0,4.0,4.0
123,2011-07-05,4.0,4.0,4.0,4.0
124,2011-07-06,4.0,4.0,4.0,4.0
125,2011-07-07,4.0,4.0,4.0,4.0
126,2011-07-08,4.0,4.0,4.0,4.0
127,2011-07-11,4.0,4.0,4.0,4.0
128,2011-07-12,4.0,4.0,4.0,4.0
129,2011-07-13,4.0,4.0,4.0,4.0
130,2011-07-14,4.0,4.0,4.0,4.0
131,2011-07-15,4.0,4.0,4.0,4.0
132,2011-07-18,4.0,4.0,4.0,4.0
133,2011-07-19,4.0,4.0,4.0,4.0
134,2011-07-20,4.0,4.0,4.0,4.0
135,2011-07-21,4.0,4.0,4.0,4.0
136,2011-07-22,4.0,4.0,4.0,4.0
137,2011-07-25,4.0,4.0,4.0,4.0
138,2011-07-26,4.0,4.0,4.0,4.0
139,2011-07-27,4.0,4.0,4.0,4.0
140,2011-07-28,4.0,4.0,4.0,4.0
141,2011-07-29,4.0,4.0,4.0,4.0
142,2011-08-01,4.0,4.0,4.0,4.0
143,2011-08-02,4.0,4.0,4.0,4.0
144,2011-08-03,4.0,4.0,4.0,4.0
145,2011-08-04,4.0,4.0,4.0,4.0
146,2011-08-05,4.0,4.0,4.0,4.0
147,2011-08-08,4.0,4.0,4.0,4.0
148,2011-08-09,4.0,4.0,4.0,4.0
149,2011-08-10,4.0,4.0,4.0,4.0
150,2011-08-11,4.0,4.0,4.0,4.0
151,2011-08-12,4.0,4.0,4.0,4.0
152,2011-08-15,4.0,4.0,4.0,4.0
153,2011-08-16,4.0,4.0,4.0,4.0
154,2011-08-17,4.0,4.0,4.0,4.0
155,2011-08-18,4.0,4.0,4.0,4.0
156,2011-08-19,4.0,4.0,4.0,4.0
157,2011-08-23,4.0,4.0,4.0,4.0
158,2011-08-24,4.0,4.0,4.0,4.0
159,2011-08-25,4.0,4.0,4.0,4.0
160,2011-08-26,4.0,4.0,4.0,4.0
161,2011-08-29,4.0,4.0,4.0,4.0
162,2011-08-30,4.0,4.0,4.0,4.0
163,2011-08-31,4.0,4.0,4.0,4.0
164,2011-09-01,4.0,4.0,4.0,4.0
165,2011-09-02,4.0,4.0,4.0,4.0
166,2011-09-05,4.0,4.0,4.0,4.0
167,2011-09-06,4.0,4.0,4.0,4.0
168,2011-09-07,4.0,4.0,4.0,4.0
169,2011-09-08,4.0,4.0,4.0,4.0
170,2011-09-09,4.0,4.0,4.0,4.0
171,2011-09-12,4.0,4.0,4.0,4.0
172,2011-09-13,4.0,4.0,4.0,4.0
173,2011-09-14,4.0,4.0,4.0,4.0
174,2011-09-15,4.0,4.0,4.0,4.0
175,2011-09-16,4.0,4.0,4.0,4.0
176,2011-09-19,4.0,4.0,4.0,4.0
177,2011-09-20,4.0,4.0,4.0,4.0
178,2011-09-21,4.0,4.0,4.0,4.0
179,2011-09-22,4.0,4.0,4.0,4.0
180,2011-09-23,4.0,4.0,4.0,4.0
181,2011-09-26,4.0,4.0,4.0,4.0
182,2011-09-27,4.0,4.0,4.0,4.0
183,2011-09-28,4.0,4.0,4.0,4.0
184,2011-09-29,4.0,4.0,4.0,4.0
185,2011-09-30,4.0,4.0,4.0,4.0
186,2011-10-03,4.0,4.0,4.0,4.0
187,2011-10-04,4.0,4.0,4.0,4.0
188,2011-10-05,4.0,4.0,4.0,4.0
189,2011-10-06,4.0,4.0,4.0,4.0
190,2011-10-07,4.0,4.0,4.0,4.0
191,2011-10-11,4.0,4.0,4.0,4.0
192,2011-10-12,4.0,4.0,4.0,4.0
193,2011-10-13,4.0,4.0,4.0,4.0
194,2011-10-14,4.0,4.0,4.0,4.0
195,2011-10-17,4.0,4.0,4.0,4.0
196,2011-10-18,4.0,4.0,4.0,4.0
197,2011-10-19,4.0,4.0,4.0,4.0
198,2011-10-20,4.0,4.0,4.0,4.0
199,2011-10-21,4.0,4.0,4.0,4.0
200,2011-10-24,4.0,4.0,4.0,4.0
201,2011-10-25,4.0,4.0,4.0,4.0
202,2011-10-26,4.0,4.0,4.0,4.0
203,2011-10-27,4.0,4.0,4.0,4.0
204,2011-10-28,4.0,4.0,4.0,4.0
205,2011-10-31,4.0,4.0,4.0,4.0
206,2011-11-01,5.0,4.0,5.0,4.0
207,2011-11-02,5.0,4.0,5.0,4.0
208,2011-11-03,5.0,4.0,5.0,4.0
209,2011-11-04,5.0,4.0,5.0,4.0
210,2011-11-07,5.0,4.0,5.0,4.0
211,2011-11-08,5.0,4.0,5.0,4.0
212,2011-11-09,5.0,4.0,5.0,4.0
213,2011-11-10,5.0,4.0,5.0,4.0
214,2011-11-11,5.0,4.0,5.0,4.0
215,2011-11-14,5.0,4.0,5.0,4.0
216,2011-11-15,5.0,4.0,5.0,4.0
217,2011-11-16,5.0,4.0,5.0,4.0
218,2011-11-17,5.0,4.0,5.0,4.0
219,2011-11-18,5.0,4.0,5.0,4.0
220,2011-11-21,5.0,4.0,5.0,4.0
221,2011-11-22,5.0,4.0,5.0,4.0
222,2011-11-23,5.0,4.0,5.0,4.0
223,2011-11-24,5.0,4.0,5.0,4.0
224,2011-11-25,5.0,4.0,5.0,4.0
225,2011-11-29,5.0,4.0,5.0,4.0
226,2011-11-30,5.0,4.0,5.0,4.0
227,2011-12-01,5.0,4.0,5.0,4.0
228,2011-12-02,5.0,4.0,5.0,4.0
229,2011-12-05,5.0,4.0,5.0,4.0
230,2011-12-06,5.0,4.0,5.0,4.0
231,2011-12-07,5.0,4.0,5.0,4.0
232,2011-12-12,5.0,4.0,5.0,4.0
233,2011-12-13,5.0,4.0,5.0,4.0
234,2011-12-14,5.0,4.0,5.0,4.0
235,2011-12-15,5.0,4.0,5.0,4.0
236,2011-12-16,5.0,4.0,5.0,4.0
237,2011-12-19,5.0,4.0,5.0,4.0
238,2011-12-20,5.0,4.0,5.0,4.0
239,2011-12-21,5.0,4.0,5.0,4.0
240,2011-12-22,5.0,4.0,5.0,4.0
241,2011-12-23,5.0,4.0,5.0,4.0
242,2011-12-26,5.0,4.0,5.0,4.0
243,2011-12-27,5.0,4.0,5.0,4.0
244,2011-12-28,5.0,4.0,5.0,4.0
245,2011-12-29,5.0,4.0,5.0,4.0
246,2012-01-03,5.0,4.0,5.0,4.0
247,2012-01-04,5.0,4.0,5.0,4.0
248,2012-01-05,5.0,4.0,5.0,4.0
249,2012-01-06,5.0,4.0,5.0,4.0
250,2012-01-09,5.0,4.0,5.0,4.0
251,2012-01-10,5.0,4.0,5.0,4.0
252,2012-01-11,5.0,4.0,5.0,4.0
253,2012-01-12,5.0,4.0,5.0,4.0
254,2012-01-13,5.0,4.0,5.0,4.0
255,2012-01-16,5.0,4.0,5.0,4.0
256,2012-01-17,5.0,4.0,5.0,4.0
257,2012-01-18,5.0,4.0,5.0,4.0
258,2012-01-19,5.0,4.0,5.0,4.0
259,2012-01-20,5.0,4.0,5.0,4.0
260,2012-01-23,5.0,4.0,5.0,4.0
261,2012-01-24,5.0,4.0,5.0,4.0
262,2012-01-25,5.0,4.0,5.0,4.0
263,2012-01-26,5.0,4.0,5.0,4.0
264,2012-01-27,5.0,4.0,5.0,4.0
265,2012-01-30,5.0,4.0,5.0,4.0
