id,title,price,currency_id,permalink,stop_time,date_created,motor,marca,modelo,puertas,transmission,kilometros,tipo_combustible,date_post
MLA1391237781,Toyota 2015 Etios 1.5 4 Ptas Xs,7400,USD,https://auto.mercadolibre.com.ar/MLA-1391237781-toyota-2015-etios-15-4-ptas-xs-_JM,2024-02-01T04:00:00.000Z,4 días,1.5,Toyota,Etios,4,Manual,160000 km,Nafta,2023-10-04
MLA1387608763,Toyota Etios 1.5 4 Ptas Xls 2013,6300000,ARS,https://auto.mercadolibre.com.ar/MLA-1387608763-toyota-etios-15-4-ptas-xls-2013-_JM,2024-01-09T04:00:00.000Z,26 días,1.5,Toyota,Etios,4,Manual,130000 km,Nafta,2023-09-12
MLA1391493819,Toyota Etios Xls 5p,10700000,ARS,https://auto.mercadolibre.com.ar/MLA-1391493819-toyota-etios-xls-5p-_JM,2024-02-03T04:00:00.000Z,1 día,1.5,Toyota,Etios,5,Automática,35868 km,Nafta,2023-10-07
MLA1391346697,Toyota Etios 1.5 Xls,7600000,ARS,https://auto.mercadolibre.com.ar/MLA-1391346697-toyota-etios-15-xls-_JM,2024-02-02T04:00:00.000Z,3 días,1.5,Toyota,Etios,5,Manual,84000 km,Nafta,2023-10-05
MLA1391091113,Toyota Corolla 2021 1.8 Hev Xei Ecvt No Seg Manual 2.0 Etios,17368900,ARS,https://auto.mercadolibre.com.ar/MLA-1391091113-toyota-corolla-2021-18-hev-xei-ecvt-no-seg-manual-20-etios-_JM,2024-01-31T04:00:00.000Z,4 días,1.8,Toyota,Corolla,4,Automática,31000 km,Híbrido/Nafta,2023-10-04
MLA1391103961,Toyota Etios Xls,8600000,ARS,https://auto.mercadolibre.com.ar/MLA-1391103961-toyota-etios-xls-_JM,2024-01-31T04:00:00.000Z,4 días,1.5,Toyota,Etios,4,Manual,63667 km,Nafta,2023-10-04
MLA1391168119,Toyota Etios Xls 1.5 4at,8590000,ARS,https://auto.mercadolibre.com.ar/MLA-1391168119-toyota-etios-xls-15-4at-_JM,2024-01-31T04:00:00.000Z,4 días,1.5,Toyota,Etios,5,Automática,68257 km,Nafta,2023-10-04
MLA1389644765,Toyota Etios 2023 1.5 Xls At,14000000,ARS,https://auto.mercadolibre.com.ar/MLA-1389644765-toyota-etios-2023-15-xls-at-_JM,2023-12-22T04:00:45.000Z,14 días,1.5,Toyota,Etios,5,Automática,500 km,Nafta,2023-09-24
MLA1516487452,Toyota Etios X 4p,8900000,ARS,https://auto.mercadolibre.com.ar/MLA-1516487452-toyota-etios-x-4p-_JM,2024-01-21T04:00:00.000Z,15 días,1.5,Toyota,Etios,4,Manual,40262 km,Nafta,2023-09-23
MLA1485874900,Toyota Etios 1.5 Sedan X,5900000,ARS,https://auto.mercadolibre.com.ar/MLA-1485874900-toyota-etios-15-sedan-x-_JM,2023-12-26T04:00:00.000Z,41 días,1.5,Toyota,Etios,4,Manual,132000 km,Nafta,2023-08-28
MLA1501470660,Toyota Yaris 2023 0km Xls Pack Cvt S Automatico No Etios 208,23500,USD,https://auto.mercadolibre.com.ar/MLA-1501470660-toyota-yaris-2023-0km-xls-pack-cvt-s-automatico-no-etios-208-_JM,2023-12-07T04:00:00.000Z,59 días,1.5,Toyota,Yaris,5,Automática,500 km,Nafta,2023-08-10
MLA1499213056,Toyota Etios Xls 2018 / Impecable / 1 Dueño / Permuto,9300500,ARS,https://auto.mercadolibre.com.ar/MLA-1499213056-toyota-etios-xls-2018-impecable-1-dueno-permuto-_JM,2023-12-06T04:00:00.000Z,1 mes,1.5,Toyota,Etios,4,Manual,65000 km,Nafta,2023-10-07
MLA1391041473,Toyota Etios Automático 2023 0km 1.5 Xls Pack At No Yaris ,17400,USD,https://auto.mercadolibre.com.ar/MLA-1391041473-toyota-etios-automatico-2023-0km-15-xls-pack-at-no-yaris-_JM,2024-01-01T04:00:00.000Z,2 meses,1.5,Toyota,Etios,5,Automática,500 km,Nafta,2023-08-09
MLA1506961136,Toyota Etios Xls At Pack Automatico 0km 2023 No Yaris Full,16999,USD,https://auto.mercadolibre.com.ar/MLA-1506961136-toyota-etios-xls-at-pack-automatico-0km-2023-no-yaris-full-_JM,2023-12-12T04:00:00.000Z,2 meses,1.5,Toyota,Etios,5,Automática,501 km,Nafta,2023-08-09
MLA1497942322,Toyota Etios Cross 2016 / 58 Mil Km Unico Dueño / Permuto,9550000,ARS,https://auto.mercadolibre.com.ar/MLA-1497942322-toyota-etios-cross-2016-58-mil-km-unico-dueno-permuto-_JM,2023-12-05T04:00:00.000Z,3 meses,1.5,Toyota,Etios,5,Manual,58000 km,Nafta,2023-07-10
